order_var,article_title,scrape_date
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:42:04Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:42:04Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:42:04Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T00:42:04Z
9,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:42:04Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:42:04Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:47:05Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:47:05Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:47:05Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:47:05Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:47:05Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:47:05Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:47:05Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T00:47:05Z
9,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:47:05Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:47:05Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:52:06Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:52:06Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:52:06Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:52:06Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:52:06Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:52:06Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:52:06Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T00:52:06Z
9,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:52:06Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:52:06Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:57:07Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:57:07Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:57:07Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:57:07Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:57:07Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:57:07Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T00:57:07Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:57:07Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:57:07Z
10,Woman charged with murder in poison mushroom case,2023-11-03T00:57:07Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:02:07Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:02:07Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:02:07Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:02:07Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:02:07Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T01:02:07Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:02:07Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:02:07Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:02:07Z
10,Woman charged with murder in poison mushroom case,2023-11-03T01:02:07Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:07:08Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:07:08Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:07:08Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:07:08Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:07:08Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T01:07:08Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:07:08Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:07:08Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:07:08Z
10,Woman charged with murder in poison mushroom case,2023-11-03T01:07:08Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:12:09Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:12:09Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:12:09Z
4,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:12:09Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:12:09Z
6,Trump's sons a study in contrasts in court showdown,2023-11-03T01:12:09Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:12:09Z
8,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:12:09Z
9,House passes Israel bill despite Biden veto threat,2023-11-03T01:12:09Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:12:09Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:17:10Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:17:10Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:17:10Z
4,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:17:10Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:17:10Z
6,Trump's sons a study in contrasts in court showdown,2023-11-03T01:17:10Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:17:10Z
8,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:17:10Z
9,House passes Israel bill despite Biden veto threat,2023-11-03T01:17:10Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:17:10Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:22:10Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:22:10Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:22:10Z
4,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:22:10Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:22:10Z
6,Trump's sons a study in contrasts in court showdown,2023-11-03T01:22:10Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:22:10Z
8,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:22:10Z
9,House passes Israel bill despite Biden veto threat,2023-11-03T01:22:10Z
10,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:22:10Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:27:11Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:27:11Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T01:27:11Z
4,Author accused of faking own death pleads guilty,2023-11-03T01:27:11Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:27:11Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T01:27:11Z
7,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:27:11Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T01:27:11Z
9,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:27:11Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:27:11Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:32:12Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:32:12Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T01:32:12Z
4,Author accused of faking own death pleads guilty,2023-11-03T01:32:12Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:32:12Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T01:32:12Z
7,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:32:12Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T01:32:12Z
9,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:32:12Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:32:12Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:37:13Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:37:13Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T01:37:13Z
4,Author accused of faking own death pleads guilty,2023-11-03T01:37:13Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:37:13Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T01:37:13Z
7,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:37:13Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T01:37:13Z
9,Dozens of US birds to lose 'harmful' human names,2023-11-03T01:37:13Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:37:13Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:42:14Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:42:14Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:42:14Z
4,Trump's sons a study in contrasts in court showdown,2023-11-03T01:42:14Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T01:42:14Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:42:14Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:42:14Z
8,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:42:14Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:42:14Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:42:14Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:47:14Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:47:14Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:47:14Z
4,Trump's sons a study in contrasts in court showdown,2023-11-03T01:47:14Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T01:47:14Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:47:14Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:47:14Z
8,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:47:14Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:47:14Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:47:14Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:52:15Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:52:15Z
3,Author accused of faking own death pleads guilty,2023-11-03T01:52:15Z
4,Trump's sons a study in contrasts in court showdown,2023-11-03T01:52:15Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T01:52:15Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:52:15Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T01:52:15Z
8,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:52:15Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:52:15Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:52:15Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T01:57:16Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T01:57:16Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T01:57:16Z
4,Author accused of faking own death pleads guilty,2023-11-03T01:57:16Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T01:57:16Z
6,Palestinian-American family finally escapes Gaza,2023-11-03T01:57:16Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T01:57:16Z
8,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T01:57:16Z
9,Donald Trump's sons defiant in NY fraud trial,2023-11-03T01:57:16Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T01:57:16Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:02:16Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:02:16Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:02:16Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:02:16Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:02:16Z
6,Palestinian-American family finally escapes Gaza,2023-11-03T02:02:16Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:02:16Z
8,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:02:16Z
9,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:02:16Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:02:16Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:07:17Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:07:17Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:07:17Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:07:17Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:07:17Z
6,Palestinian-American family finally escapes Gaza,2023-11-03T02:07:17Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:07:17Z
8,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:07:17Z
9,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:07:17Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:07:17Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:12:18Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:12:18Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:12:18Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:12:18Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:12:18Z
6,Palestinian-American family finally escapes Gaza,2023-11-03T02:12:18Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:12:18Z
8,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:12:18Z
9,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:12:18Z
10,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:12:18Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:17:19Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:17:19Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:17:19Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:17:19Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:17:19Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:17:19Z
7,Palestinian-American family finally escapes Gaza,2023-11-03T02:17:19Z
8,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:17:19Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:17:19Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:17:19Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:22:20Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:22:20Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:22:20Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:22:20Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:22:20Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:22:20Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:22:20Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:22:20Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:22:20Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:22:20Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:27:21Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:27:21Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:27:21Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:27:21Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:27:21Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:27:21Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:27:21Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:27:21Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:27:21Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:27:21Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:32:22Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:32:22Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:32:22Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:32:22Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:32:22Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:32:22Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:32:22Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:32:22Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:32:22Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:32:22Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:37:22Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:37:22Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:37:22Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:37:22Z
5,House passes Israel bill despite Biden veto threat,2023-11-03T02:37:22Z
6,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:37:22Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:37:22Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:37:22Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:37:22Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:37:22Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:42:23Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:42:23Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:42:23Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:42:23Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:42:23Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T02:42:23Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:42:23Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:42:23Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:42:23Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:42:23Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:47:24Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:47:24Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:47:24Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:47:24Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:47:24Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T02:47:24Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:47:24Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:47:24Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:47:24Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:47:24Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:52:25Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:52:25Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:52:25Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:52:25Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:52:25Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T02:52:25Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:52:25Z
8,Palestinian-American family finally escapes Gaza,2023-11-03T02:52:25Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:52:25Z
10,Donald Trump's sons defiant in NY fraud trial,2023-11-03T02:52:25Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T02:57:25Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T02:57:25Z
3,Trump's sons a study in contrasts in court showdown,2023-11-03T02:57:25Z
4,Author accused of faking own death pleads guilty,2023-11-03T02:57:25Z
5,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T02:57:25Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T02:57:25Z
7,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T02:57:25Z
8,Hezbollah chief to break silence on Israel-Gaza war,2023-11-03T02:57:25Z
9,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T02:57:25Z
10,Palestinian-American family finally escapes Gaza,2023-11-03T02:57:25Z
1,'Crypto King' Bankman-Fried guilty of FTX fraud,2023-11-03T03:02:26Z
2,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T03:02:26Z
